学校简称,学校全称,出版社,网址,学校等级,CCF等级,所属学科,所属类型
ASPLOS,Architectural Support for Programming Languages and Operating Systems,ACM, http://dblp.uni-trier.de/db/conf/asplos/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
FAST,USENIX Conference on File and Storage Technologies,USENIX, http://dblp.uni-trier.de/db/conf/fast/,A+,A,计算机体系结构/并行与分布计算/存储系统,会议 
HPCA,High-Performance Computer Architecture,IEEE, http://dblp.uni-trier.de/db/conf/cnhpca/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
ISCA,International Symposium on Computer Architecture,ACM /IEEE, http://dblp.uni-trier.de/db/conf/isca/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
MICRO,MICRO,IEEE/ACM, http://dblp.uni-trier.de/db/journals/micro/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE, http://dblp.uni-trier.de/db/conf/sc/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
USENIX ATC,USENIX Annul Technical Conference,USENIX, http://dblp.uni-trier.de/db/conf/usenix/index.html,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
PPoPP,Principles and Practice of Parallel Programming,ACM , http://dblp.uni-trier.de/db/conf/ppopp/,A,A,计算机体系结构/并行与分布计算/存储系统,会议 
HOT CHIPS,ACM Symposium on High Performance Chips,IEEE, http://www.hotchips.org/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM, http://dblp.uni-trier.de/db/conf/spaa/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
PODC,ACM Symposium on Principles of Distributed Computing,ACM, http://dblp.uni-trier.de/db/conf/podc/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
CGO,Code Generation and Optimization,IEEE/ACM, http://dblp.uni-trier.de/db/conf/cgo/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
DAC,Design Automation Conference,ACM, http://dblp.uni-trier.de/db/conf/eurodac/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
DATE,"Design, Automation & Test in Europe Conference",IEEE/ACM, http://dblp.uni-trier.de/db/conf/date/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
EuroSys,EuroSys,ACM, http://dblp.uni-trier.de/db/conf/eurosys/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
HPDC,High-Performance Distributed Computing,IEEE, http://dblp.uni-trier.de/db/conf/hpdc/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ICCD,International Conference on Computer Design,IEEE, http://dblp.uni-trier.de/db/conf/iccd/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ICCAD,International Conference on Computer-Aided Design,IEEE/ACM, http://dblp.uni-trier.de/db/conf/iccad/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ICDCS,International Conference on Distributed Computing Systems,IEEE, http://dblp.uni-trier.de/db/conf/icdcs/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM, http://dblp.uni-trier.de/db/conf/hipeac/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM, http://dblp.uni-trier.de/db/conf/sigmetrics/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ICPP,International Conference on Parallel Processing,IEEE, http://dblp.uni-trier.de/db/conf/icpp/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ICS,International Conference on Supercomputing,ACM, http://dblp.uni-trier.de/db/conf/ics/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
IPDPS,International Parallel & Distributed Processing Symposium,IEEE, http://dblp.uni-trier.de/db/conf/ipps/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM, http://dblp.uni-trier.de/db/conf/fpga/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM, http://dblp.uni-trier.de/db/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
LISA,Large Installation system Administration Conference,USENIX, http://dblp.uni-trier.de/db/conf/lisa/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
MSST,Mass Storage Systems and Technologies,IEEE, http://dblp.uni-trier.de/db/conf/mss/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
PACT,Parallel Architectures and Compilation Techniques,IEEE/ACM, http://dblp.uni-trier.de/db/conf/IEEEpact/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
RTAS,Real-Time and Embedded Technology and Applications Symposium,IEEE, http://dblp.uni-trier.de/db/conf/rtas/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
VEE,Virtual Execution Environments,ACM, http://dblp.uni-trier.de/db/conf/vee/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
CODES+ISSS,ACM/IEEE Conf. Hardware/Software Co-design and System Synthesis,ACM/ IEEE, http://dblp.uni-trier.de/db/conf/codes/index.html,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
ITC,International Test Conference,IEEE, http://dblp.uni-trier.de/db/conf/itc/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
SOCC,ACM Symposium on Cloud Computing,ACM, http://dblp.uni-trier.de/db/conf/cloud/,A-,B,计算机体系结构/并行与分布计算/存储系统,会议 
CF,ACM International Conference on Computing Frontiers,ACM, http://dblp.uni-trier.de/db/conf/cf,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
NOCS,ACM/IEEE International Symposium on Networks-on-Chip,ACM/IEEE, http://dblp.uni-trier.de/db/conf/nocs,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ASP-DAC,Asia and South Pacific Design Automation Conference,ACM/IEEE, http://dblp.uni-trier.de/db/conf/aspdac,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ASAP,"Application-Specific Systems, Architectures, and Processors",IEEE, http://dblp.uni-trier.de/db/conf/asap,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
CLUSTER,Cluster Computing,IEEE, http://dblp.uni-trier.de/db/journals/cluster/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
CCGRID,Cluster Computing and the Grid,IEEE, http://dblp.uni-trier.de/db/conf/ccgrid/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
Euro-Par,European Conference on Parallel and Distributed Computing,Springer, http://dblp.uni-trier.de/db/conf/europar/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ETS,European Test Symposium,IEEE, http://dblp.uni-trier.de/db/conf/ets/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
FPL,Field Programmable Logic and Applications,IEEE, http://dblp.uni-trier.de/db/conf/fpl/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
FCCM,Field-Programmable Custom Computing Machines,IEEE, http://dblp.uni-trier.de/db/conf/fccm/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
GLSVLSI,Great Lakes Symposium on VLSI Systems,ACM/IEEE, http://dblp.uni-trier.de/db/conf/glvlsi/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE, http://dblp.uni-trier.de/db/conf/hpcc/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE, http://dblp.uni-trier.de/db/conf/mascots/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
NPC,IFIP International Conference on Network and Parallel Computing,Springer, http://dblp.uni-trier.de/db/conf/npc/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE, http://dblp.uni-trier.de/db/conf/ica3pp/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM, http://dblp.uni-trier.de/db/conf/cases/index.html,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
FPT,International Conference on Field-Programmable Technology,IEEE, http://dblp.uni-trier.de/db/conf/fpt/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
HPC,International Conference on High Performance Computing,IEEE/ ACM, http://dblp.uni-trier.de/db/conf/hipc/index.html,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ICPADS,International Conference on Parallel and Distributed Systems,IEEE, http://dblp.uni-trier.de/db/conf/icpads/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ISCAS,International Symposium on Circuits and Systems,IEEE, http://dblp.uni-trier.de/db/conf/iscas/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ISLPED,International Symposium on Low Power Electronics and Design,ACM/IEEE, http://dblp.uni-trier.de/db/conf/islped/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ISPD,International Symposium on Physical Design,ACM, http://dblp.uni-trier.de/db/conf/ispd/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
Hot Interconnects,Symposium on High-Performance Interconnects,IEEE, http://dblp.uni-trier.de/db/conf/hoti/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
VTS,VLSI Test Symposium,IEEE, http://dblp.uni-trier.de/db/conf/vts/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ISPA,Sym. on Parallel and Distributed Processing with Applications,, http://dblp.uni-trier.de/db/conf/ispa/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
SYSTOR,ACM SIGOPS International Systems and Storage Conference,ACM, http://dblp.uni-trier.de/db/conf/systor/index.html,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
ATS,IEEE Asian Test Symposium,IEEE, http://dblp.uni-trier.de/db/conf/ats/,B,C,计算机体系结构/并行与分布计算/存储系统,会议 
MOBICOM,ACM International Conference on Mobile Computing and Networking,ACM, http://dblp.uni-trier.de/db/conf/mobicom/,A,A,计算机网络,中国计算机学会推荐国际学术会议 
SIGCOMM,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication",ACM, http://dblp.uni-trier.de/db/conf/sigcomm/index.html,A,A,计算机网络,中国计算机学会推荐国际学术会议 
INFOCOM,IEEE International Conference on Computer Communications,IEEE, http://dblp.uni-trier.de/db/conf/infocom/,A,A,计算机网络,中国计算机学会推荐国际学术会议 
SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM, http://dblp.uni-trier.de/db/conf/sensys/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,ACM, http://dblp.uni-trier.de/db/conf/conext/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,IEEE, http://dblp.uni-trier.de/db/conf/secon/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM, http://dblp.uni-trier.de/db/conf/ipsn/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
ICNP,International Conference on Network Protocols,IEEE, http://dblp.uni-trier.de/db/conf/icnp/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,ACM/IEEE, http://dblp.uni-trier.de/db/conf/mobihoc/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
MobiSys,"International Conference on Mobile Systems, Applications, and Services",ACM, http://dblp.uni-trier.de/db/conf/mobisys/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
IWQoS,International Workshop on Quality of Service,IEEE, http://dblp.uni-trier.de/db/conf/iwqos/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
IMC,Internet Measurement Conference,ACM/USENIX, http://dblp.uni-trier.de/db/conf/imc/,A-,B,计算机网络,中国计算机学会推荐国际学术会议 
